"sexo","collection_code","collection_no","collection_date","maturity","total_length_cm","precaudal_length_cm","total_weight_gr","liver_weight_gr","factor_condicion_fulton","proporcion_morfometrica","peso_somatico_neto_gr","fuente_run_id"
"male","CCM","196",2021-01-25,"inmature",57.2,36.8,778,42,0.415710994467902,0.643356643356643,736,"20260910T195140"
"male","CCM","852",NA,"inmature",58,36.8,1942,102,0.995325761613842,0.63448275862069,1840,"20260910T195140"
"male","CCM","658",NA,"inmature",53.2,37,378,18,0.251048079240444,0.695488721804511,360,"20260910T195140"
"male","CCM","614",NA,"inmature",53.8,37,2156,84,1.3845285942144,0.687732342007435,2072,"20260910T195140"
"male","CCM","1018",2021-12-13,"mature",58.5,37.2,968,NA,0.483512558901557,0.635897435897436,NA,"20260910T195140"
"male","CCM","386",NA,"inmature",58.3,37.5,1476,88,0.744870360183728,0.643224699828473,1388,"20260910T195140"
"male","CCM","998",2021-08-30,"inmature",56.6,37.7,1256,78,0.69269227736793,0.666077738515901,1178,"20260910T195140"
"male","CCM","498",NA,"inmature",57.5,37.9,530,32,0.278786882551163,0.659130434782609,498,"20260910T195140"
"male","CCM","164",2021-01-25,"mature",60,38,1194,68,0.552777777777778,0.633333333333333,1126,"20260910T195140"
"male","CCM","678",NA,"mature",63,38,1606,86,0.642279251500718,0.603174603174603,1520,"20260910T195140"
"male","CCM","213",2021-01-25,"inmature",65,38,1194,74,0.434774692762858,0.584615384615385,1120,"20260910T195140"
"male","CCM","682",NA,"inmature",47.3,38.1,1286,NA,1.21522738118584,0.805496828752643,NA,"20260910T195140"
"male","CCM","616",NA,"inmature",58.9,38.6,1924,86,0.941584245541602,0.6553480475382,1838,"20260910T195140"
"male","CCM","1058",NA,"inmature",59.5,38.8,1560,72,0.740582936090897,0.652100840336134,1488,"20260910T195140"
"male","CCM","410",NA,"inmature",60,38.8,1420,72,0.657407407407407,0.646666666666667,1348,"20260910T195140"
"male","CCM","296",2021-01-25,"mature",59.5,39,1350,86,0.64088907930943,0.65546218487395,1264,"20260910T195140"
"male","CCM","309",2021-01-25,"inmature",61,39,1390,72,0.612386058745005,0.639344262295082,1318,"20260910T195140"
"male","CCM","1010",NA,"mature",59.5,39.1,1972,76,0.936172788443108,0.657142857142857,1896,"20260910T195140"
"male","CCM","246",2021-01-25,"inmature",59,39.3,986,54,0.480088032369424,0.666101694915254,932,"20260910T195140"
"male","CCM","630",NA,"inmature",49.1,39.4,NA,NA,NA,0.80244399185336,NA,"20260910T195140"
"male","CCM","618",NA,"inmature",61.5,39.5,968,70,0.416150106375147,0.642276422764228,898,"20260910T195140"
"male","CCM","674",NA,"mature",56,40,1838,82,1.04660167638484,0.714285714285714,1756,"20260910T195140"
"male","CCM","206",2021-01-25,"inmature",56.3,40,1282,74,0.718394238473725,0.710479573712256,1208,"20260910T195140"
"male","CCM","619",NA,"inmature",59.4,40.1,2420,120,1.15466507784752,0.675084175084175,2300,"20260910T195140"
"male","CCM","304",2021-01-25,"inmature",54.3,40.2,1620,72,1.0118485782094,0.740331491712707,1548,"20260910T195140"
"male","CCM","383",NA,"inmature",62,40.2,874,44,0.366721493068376,0.648387096774194,830,"20260910T195140"
"male","CCM","231",2021-01-25,"inmature",62.9,40.2,974,46,0.391387562496487,0.639109697933227,928,"20260910T195140"
"male","CCM","1020",2021-12-13,"inmature",62.7,40.3,866,NA,0.351330027366459,0.64274322169059,NA,"20260910T195140"
"male","CCM","187",2021-01-25,"mature",64.8,40.4,1002,58,0.368249956251023,0.623456790123457,944,"20260910T195140"
"male","CCM","539",NA,"inmature",57.6,40.5,294,18,0.153843758037551,0.703125,276,"20260910T195140"
"male","CCM","337",2021-01-25,"inmature",66,40.5,1502,74,0.522442051367671,0.613636363636364,1428,"20260910T195140"
"male","CCM","1070",NA,"inmature",57.3,40.6,1312,50,0.697380772298922,0.708551483420593,1262,"20260910T195140"
"male","CCM","588",NA,"inmature",61.8,40.6,1540,NA,0.652462108983271,0.656957928802589,NA,"20260910T195140"
"male","CCM","511",NA,"mature",62.1,40.6,435,18,0.181641239335921,0.65378421900161,417,"20260910T195140"
"male","CCM","228",2021-01-25,"mature",66.1,40.7,1370,62,0.474368878263134,0.615733736762481,1308,"20260910T195140"
"male","CCM","1126",2022-01-20,"inmature",61.4,40.8,1452,NA,0.627280089684118,0.664495114006515,NA,"20260910T195140"
"male","CCM","199",2021-01-25,"mature",62.1,40.8,1379,60,0.575823606998242,0.657004830917874,1319,"20260910T195140"
"male","CCM","456",NA,"inmature",63.1,40.8,728,44,0.289763248340903,0.646592709984152,684,"20260910T195140"
"male","CCM","252",2021-01-25,"inmature",65.2,40.8,1032,52,0.372337612887569,0.625766871165644,980,"20260910T195140"
"male","CCM","322",2021-01-25,"mature",60.7,40.9,1400,84,0.625982168817438,0.673805601317957,1316,"20260910T195140"
"male","CCM","1152",NA,"inmature",63,40.9,1216,NA,0.48630857398809,0.649206349206349,NA,"20260910T195140"
"male","CCM","301",2021-01-25,"mature",67,41,1254,58,0.416939583658894,0.611940298507463,1196,"20260910T195140"
"male","CCM","333",2021-01-25,"inmature",60.2,41.1,1544,78,0.707714057559008,0.682724252491694,1466,"20260910T195140"
